Hela,U87,K562,HEK293T,iPSC,MCF7,MDA-MB-231
,,,,,,
LH00082,LH00082,,,LH00082,LH00082,
,,,,LH00087,,
,,LH00096,,,,
,,LH00114,,,,
,,,,,LH00120,
,,,,LH00123,,
,LH00171,,,LH00171,LH00171,
,,,,LH00173,,
,,,,LH00185,,
,,,,LH00217,,
,,,LH00243,,,
,,LH00262,,,,
,,,,LH00284,,
,,,,,,LH00343
,,,,LH00368,,
,,,,LH00370,,
LH00395,,LH00395,,LH00395,,
,,,,,LH00401,
LH00430,,LH00430,,LH00430,LH00430,
,,LH00431,,,,
,,LH00462,LH00462,LH00462,LH00462,
,LH00477,,,,,
,,,,LH00491,,
,,,,LH00494,,
,,,,LH00504,,
LH00533,,,,,,
,,LH00535,,,,
LH00570,,,,,,
,,,,LH00616,,
,,,,LH00618,,
,,,,LH00673,,
,,LH00732,,,,
,,,,LH00741,,
,LH00771,,,,,
,,,,LH00795,,
,,,LH00813,,,
,,,,LH00823,,
,,LH00824,,,,
,,LH00883,,,,
,,,,LH00886,,
,LH00918,,,LH00918,,
,,,,,LH00923,
,,,,LH00936,,
,LH00938,,,LH00938,,
,,,,LH00956,,
LH00990,,LH00990,,LH00990,LH00990,
LH01001,LH01001,LH01001,,,LH01001,
,,LH01012,,,,
,,LH01019,,,,
,,,,LH01036,,
,,,,LH01054,,
,,,,LH01057,,
,,,,LH01098,,
,,,LH01099,,,
,,,,LH01128,,
,,,,,LH01160,
,LH01208,,,,,
LH01249,LH01249,LH01249,LH01249,LH01249,,
,,,,,,LH01304
,,,,LH01313,,
,,,,,,LH01325
,,,,LH01327,,
LH01365,,LH01365,,LH01365,LH01365,
,,LH01455,,,,
,,,,LH01456,,
,,,,LH01596,,
,,LH01642,,,,
,,,,LH01683,,
,,,,,,LH01721
,,,,LH01751,,
,,LH01782,,LH01782,,
,,,,LH01784,,
,,,,LH01808,,
,LH01811,,,,,
,,,,LH01834,,
,,,,LH01884,,
,,LH01885,,LH01885,LH01885,
LH01889,LH01889,LH01889,,LH01889,LH01889,
,,,,,,LH01889
,LH01902,,,LH01902,,
,,,,,,LH01902
,,,,LH01946,,
,,,,LH01967,,
,,,,,LH02016,
,,,,LH02071,,
,,,,LH02095,,
,,,,LH02126,,
,,,,,LH02176,
,,,,LH02199,,
,,,,LH02234,,
,LH02236,,,,,
,,,,LH02247,,
,,LH02253,,,,
,,,,LH02254,,
,,,,LH02255,,
,,LH02285,,,,
,,,,LH02369,,
LH02375,,,,,,
,,,,LH02394,,
,,LH02403,,,,
,,,,LH02417,,
,,,,LH02439,,
,,LH02475,,LH02475,,
,,,,LH02482,,
,,,,,,LH02486
,LH02492,,,,,
,,,LH02495,,,
,,,,LH02501,,
,,,,LH02511,,
,,,,LH02535,,
,,,,LH02537,,
,,,,,LH02558,
,,,,LH02576,,
,,LH02638,,LH02638,,
,,,,,LH02640,
,,LH02656,,,,
,LH02694,,,,,
,LH02699,,,,,
,,,,LH02714,,
,LH02822,,,LH02822,,
,,,,LH02841,,
,LH02848,,,LH02848,LH02848,
,,,,,,LH02848
,LH02855,,,LH02855,LH02855,
,,,,LH02866,,
,,,,,LH02897,
,LH02923,,,,,
LH03019,,,,,LH03019,
,LH03049,,,LH03049,,
,,,,,,LH03068
,,,,LH03121,,
,,,,LH03128,,
,,,,LH03130,,
,,,,LH03131,,
,,,,LH03136,LH03136,
,,LH03204,,,,
,,,,LH03227,,
,,LH03252,,,,
,,LH03253,,LH03253,,
,LH03273,LH03273,,LH03273,,
,,,,LH03275,,
,,LH03276,,LH03276,LH03276,
,,,,,,LH03276
,,,LH03277,,LH03277,
,,,,LH03283,,
,,,,LH03310,,
,,,,LH03315,LH03315,
,,,,,,LH03315
,,,,LH03368,,
,LH03379,,,,,
,,,,LH03461,,
,LH03462,,,LH03462,LH03462,
,,LH03546,,,,
,,,,LH03579,,
,LH03635,,,,,
,,,,LH03644,,
,,,,LH03648,,
,,LH03712,,,,
LH03739,LH03739,,,,LH03739,
,,,,LH03763,,
,,,,,,LH03777
,,,,LH03810,,
,,,,LH03916,,
,,,,LH03931,,
,,LH03978,,LH03978,,
,,,,LH03987,,
,,LH04017,,,,
,,LH04106,,LH04106,,
,,LH04113,,,,
LH04121,LH04121,,,,LH04121,
,,,,,,LH04121
,,,,LH04190,,
,,LH04195,,,,
LH04253,,,,LH04253,,
,,LH04267,,LH04267,,
,,,,LH04292,,
,,,,LH04336,,
,,,,LH04364,LH04364,
LH04381,LH04381,LH04381,,LH04381,LH04381,
,,,,,,LH04381
,,,,,,LH04383
,,,,LH04396,,
,,,,,LH04419,
,,,,LH04431,,
,,LH04465,,,,
,,LH04471,,,,
,,,,LH04472,,
,,,,LH04497,,
,,LH04528,LH04528,,,
,,LH04545,,LH04545,,
,LH04556,,,,,
,LH04557,,,,,
,,,,LH04639,,
LH04640,,,,LH04640,LH04640,
,,,,,LH04652,
,,,,LH04678,,
,LH04679,,,,,
,,,,,LH04699,
,LH04700,,,LH04700,,
,,,,LH04804,,
,,,,LH04805,,
,,,,LH04827,,
,,LH04843,,,LH04843,
,LH04860,,,,,
,,LH04954,,,,
,,,,LH04956,,
,,,,LH04960,,
,,LH05006,,,,
,,,,LH05008,,
,,,,LH05009,,
,,,,LH05094,,
,,,,LH05098,LH05098,
,LH05100,,,,,
,LH05189,,,,,
,,,,LH05235,,
,,,,LH05240,LH05240,
,,,,LH05245,,
,,,,LH05270,,
,,,,LH05274,,
,,,,LH05278,,
LH05282,,LH05282,,,LH05282,
,,LH05358,,,,
,,LH05410,,,,
,,,,LH05447,,
,,,,LH05449,,
,,,,LH05476,,
,,,,LH05492,,
,LH05512,LH05512,,LH05512,LH05512,
,,,,LH05514,,
,,,,LH05518,,
,,,,LH05535,,
,,,,LH05557,,
,,,,,LH05596,
LH05598,LH05598,LH05598,LH05598,LH05598,LH05598,
,,,,,,LH05598
,,LH05636,,,,
LH05655,LH05655,,,LH05655,,
,,,,,,LH05655
,LH05674,,,LH05674,,
,,,,LH05703,,
LH05729,LH05729,LH05729,,LH05729,LH05729,
,,,,,,LH05729
,,LH05766,,,,
,,,,LH05775,,
,,,,,,LH05780
,,,,,LH05806,
,,,,LH05831,,
,,,,,LH05832,
,,,,LH05847,,
,,,,LH05852,,
LH05878,,,,,,
,,,,LH05882,,
,,LH05893,,,,
,,,,LH06016,,
,,,,LH06037,,
,,,,LH06048,,
,,,,LH06096,,
,,,,LH06130,,
,,LH06146,,,,
,,,,LH06150,,
,,,,LH06163,,
,,,,,,LH06267
LH06283,LH06283,LH06283,,LH06283,LH06283,
,,,,,,LH06283
,,,LH06286,,,
,,LH06298,,,,
,,,,,LH06329,
,,,,LH06333,,
,,,,LH06355,,
,,,LH06368,LH06368,LH06368,
,,,,LH06371,,
,,,,LH06395,,
LH06415,LH06415,,,LH06415,,
LH06425,,LH06425,,LH06425,,
,,LH06436,,,,
,,,,LH06459,,
,,LH06519,,,,
,LH06548,,,,,
,,,,LH06549,,
,,,,LH06552,,
,,,,,LH06576,
,,,,LH06592,,
,,,,LH06624,,
,,,,,LH06627,
,,,LH06638,,,
,LH06641,LH06641,,LH06641,LH06641,
,,,,LH06645,,
,,,,LH06657,,
,,,,LH06705,,
,,,,LH06726,LH06726,
,,,,LH06750,,
,,,,LH06772,LH06772,
,LH06783,,,,,
,,,,LH06790,,
,,,,LH06791,,
,LH06802,,,,,
,,LH06844,,,,
,,,,LH06851,,
,,,,LH06923,,
,,LH06936,,,,
,,,,LH06978,,
,LH06993,,,,,
,,,,LH06995,,
,,LH07024,,,,
,,,,LH07029,,
,LH07052,,,,,
,,,,,LH07053,
,,,,,LH07054,
,,,,LH07077,,
,,LH07134,,LH07134,,
,,,,LH07138,,
,,LH07146,,,,
,,,,LH07148,,
,,,,LH07182,,
,,LH07235,,,LH07235,
,,,,,LH07236,
LH07271,,LH07271,,,LH07271,
,,,,LH07310,,
,,,,,LH07328,
,,,,LH07353,,
,LH07433,,,,,
,,,,LH07440,LH07440,
,LH07534,LH07534,,LH07534,LH07534,
,,,,LH07573,LH07573,
LH07589,,,,,,
,,LH07598,,,,
,LH07609,LH07609,,LH07609,LH07609,
,LH07610,LH07610,LH07610,LH07610,LH07610,
,LH07628,,,,,
,,,,LH07642,,
,,,,LH07653,,
,,,,LH07658,,
,,,,LH07681,,
,,LH07682,,LH07682,,
,,,,LH07686,,
,,,,LH07721,,
,,,,LH07726,,
,,,,LH07737,,
,,,,LH07851,,
,,LH07863,,,,
,,,,LH07866,,
,,,,LH07937,,
,,,,LH08001,,
,,LH08035,,,,
,,,,LH08056,,
,,,,LH08073,,
,LH08135,,,,,
,,,,LH08144,,
,,,,LH08172,,
,,,,LH08196,,
,,,,LH08279,,
,,,,LH08309,,
,,,,LH08325,,
,,,,LH08329,,
,,,,LH08333,,
,,,,LH08339,,
,,,,,LH08356,
,,,,LH08375,,
,,,,LH08390,,
,,,,LH08410,,
,,,,LH08446,,
LH08457,LH08457,LH08457,,LH08457,LH08457,
,,,,,,LH08457
,,,,LH08471,,
,,,,LH08521,,
,,,,LH08529,,
,,LH08532,,,,
,,,,LH08562,,
,LH08564,LH08564,LH08564,,,
,,LH08577,,,,
,,,,LH08586,,
,,,,LH08594,,
,,,,LH08602,,
,,,,LH08637,,
,,,,LH08638,,
,,,,LH08646,,
,,,,LH08656,,
,,,,,,LH08677
,,LH08692,,,,
,,,,LH08696,,
,,,LH08727,,,
LH08736,,LH08736,,LH08736,LH08736,
,,LH08755,,,,
,,,,LH08782,,
,,,,LH08786,,
,,,,LH08796,,
,,,,,,LH08797
,,,,LH08811,,
,,,,LH08813,,
,LH08872,,,,,
,,,,LH08888,,
,,,,,LH08894,
,,,,LH08895,,
,,LH08901,,,,
LH08918,LH08918,LH08918,,LH08918,LH08918,
,,,,,,LH08918
,,LH08919,,LH08919,,
,,LH08996,,,,
,,LH09020,,,,
,,LH09054,,LH09054,,
,,LH09055,,LH09055,,
,,,,LH09070,,
,,,,,LH09175,
,,,,LH09176,,
,,,,LH09184,,
LH09194,,,,,LH09194,
,,,,LH09287,,
,,,,LH09298,,
,,LH09300,,,,
,,,,LH09339,,
,,LH09345,,,,
,,,,LH09349,,
,,,,LH09363,,
,,LH09382,,,,
,,,,LH09439,,
,,,,LH09449,,
,,,,LH09553,,
,,LH09582,,,,
,,,,,LH09607,
,,,,LH09617,,
,,,,LH09641,,
,,,,LH09645,,
,,,,,,LH09645
,,,,LH09651,,
,LH09670,,,LH09670,,
,,,,,,LH09670
,,LH09740,,,,
,,,,,LH09760,
,LH09763,,,,,
,LH09807,,,LH09807,,
,,LH09864,,LH09864,,
,,,,,LH09876,
,,,,LH09883,,
,,LH09901,,,,
,,LH09902,,,LH09902,
,,,,LH09947,,
,,,,LH09948,,
LH10005,,LH10005,,,LH10005,
,,,,LH10060,LH10060,
,,,,,LH10100,
,,,,LH10122,,
,,,,LH10128,,
,,,,LH10144,,
,,,,,,LH10158
,,,,LH10172,,
,,,,LH10209,,
,,LH10217,,LH10217,,
LH10221,,LH10221,,LH10221,,
,,,,LH10291,,
,,,,LH10294,,
,,,,LH10298,,
,,,,LH10351,,
,,,,LH10459,,
,,,,LH10505,,
,,,,LH10514,,
,,,,LH10524,,
,,,,LH10533,,
,,,,,,LH10546
,,,,,LH10547,
,,,,,,LH10547
,,,,LH10552,,
,,LH10586,,,,
,LH10640,,,,,
,,,,,,LH10640
,,,,LH10734,,
,,,,LH10762,,
,,LH10772,,,,
,,LH10793,,,,
,LH10879,LH10879,LH10879,LH10879,,
,,,,LH10905,,
,,,,LH10939,,
LH10952,,LH10952,,,LH10952,
,,,,,,LH10952
,,,,LH10987,,
,,,,LH11036,,
,,,,LH11049,,
,,,,LH11081,,
,LH11105,,,,,
,,,,LH11144,,
,,,,LH11302,,
,,,,,LH11366,
,,,,LH11372,,
,,,,LH11418,,
,,,,LH11452,,
,,,,LH11459,LH11459,
,LH11498,,,,,
,,LH11526,,LH11526,,
,,,,LH11587,,
LH11708,,LH11708,LH11708,,LH11708,
,,,,LH11715,,
,,,,LH11719,,
,,,,LH11792,LH11792,
,,,,LH11804,,
,,,,,LH11805,
,,,,LH11821,,
,,,,LH11876,,
,,,,LH11920,,
,,,,LH11921,,
,,,LH11924,,,
,,,,LH11927,,
,,,,LH11930,,
,,,,LH11972,,
,,,,LH11976,,
,,,,LH11995,,
,,,,,,LH11995
,,,,LH12045,,
,,,,LH12260,,
,,LH12325,,LH12325,,
,,LH12328,,LH12328,,
,,,,LH12331,,
,,,,LH12333,,
,,,,LH12379,LH12379,
,,LH12437,,,,
,,,,LH12469,,
LH12544,,LH12544,,,,
,,,,LH12547,,
,,,,LH12633,,
,,,,LH12647,,
,,,,LH12670,,
,LH12673,LH12673,,LH12673,LH12673,
LH12679,LH12679,,,LH12679,,
,,,,LH12725,,
,,,,LH12766,,
,,,,LH12784,,
,,,,LH12848,,
,,,,LH12870,,
,LH12879,,,,,
,,,,LH12890,,
,,,,LH12933,,
,LH12937,,,,,
,,,,LH12959,,
,,,,LH12989,,
,,,,LH12997,LH12997,
,,,,LH13004,,
LH13013,,,,LH13013,LH13013,
,,,,LH13078,,
,,,,LH13118,,
,,,,LH13179,,
,LH13254,LH13254,,,LH13254,
,,,,,,LH13254
,,,,LH13281,,
,LH13282,LH13282,,LH13282,LH13282,
,,,,LH13285,,
,,,LH13307,,,
,,,,LH13381,,
,LH13436,,,,,
LH13468,,,,,,
LH13501,LH13501,LH13501,LH13501,LH13501,LH13501,
,,,,,,LH13501
LH13512,,LH13512,,,,
LH13515,,LH13515,,,LH13515,
,,,,,,LH13515
,,,,LH13519,,
,,,,LH13527,,
,,,,LH13540,,
,,,,LH13552,,
,,LH13597,,,,
,,LH13598,,,,
,,,,LH13668,,
,,,,LH13693,,
,,,,LH13774,,
,,,,LH13802,,
,,LH13826,,,,
,LH13836,,,,,
,,LH13866,,,LH13866,
,,,,LH13892,,
,,,,LH13894,,
LH13928,,,,,,
LH13958,LH13958,,,LH13958,LH13958,
LH13960,,,,,,
,,,,LH13961,,
,,,,,,LH13981
,,,,LH14038,,
,,LH14048,,,,
,,LH14054,,,,
,,,,LH14060,,
,,,,LH14151,,
,,,,,LH14156,
,,,,,,LH14165
,,,,LH14181,,
,,,,LH14341,,
,,,,LH14349,,
,,,,LH14352,,
,,,,,,LH14362
,,LH14418,,,,
,,,,LH14449,,
,LH14450,LH14450,,LH14450,LH14450,
,,,,LH14503,,
,,,,LH14505,LH14505,
,LH14528,,,,,
,,LH14558,,LH14558,,
,,,,LH14643,,
,,,,LH14723,,
,,LH14732,,,,
,,,,LH14736,,
,,,,LH14745,,
,,,,LH14750,,
,LH14808,,,,,
,LH14876,,,,,
,,,,LH14878,,
,,,,LH14880,,
LH14897,,,,LH14897,,
,,,,LH14949,,
,,,LH14955,,,
,,,,,LH14958,
,LH14964,,,,,
,LH14965,,,,,
,,,,LH14973,,
,,,LH14994,,,
,,,,LH15005,,
,,,,LH15008,,
,,,,LH15009,,
,,,,LH15010,,
,,,,LH15016,,
,,,,LH15033,,
,,,,LH15076,,
,,,,,LH15119,
,,,,,LH15169,
,,,,LH15269,,
,,LH15277,LH15277,LH15277,,
,,,,LH15278,,
,,LH15312,,LH15312,,
LH15315,,LH15315,,LH15315,LH15315,
,,,,LH15319,,
,LH15346,,,LH15346,LH15346,
,,,,,,LH15346
,LH15347,,,LH15347,LH15347,
,,,,,,LH15347
,,LH15437,,LH15437,LH15437,
,,,,LH15447,,
,,,,LH15508,,
,LH15510,,,,,
,,,,,LH15551,
,,,,,LH15672,
,,,,LH15720,,
LH15738,,,,,,
LH15741,,,,,,
,,,,,LH15746,
,,,LH15786,,,
,LH15820,LH15820,,LH15820,,
,,,,LH15840,,
,,,,LH15857,,
,,LH15992,,LH15992,LH15992,
,,,,LH16008,,
,,,,LH16020,,
,,,,LH16051,LH16051,
,,LH16058,,LH16058,,
,,LH16104,,,,
,LH16126,,,,,
,,,,,LH16131,
,,,,LH16160,,
LH16174,,,,,,
,LH16185,,,LH16185,,
LH16193,,,,,,
,,,,,LH16202,
,,,,LH16235,,
,,,,LH16267,,
,,,,LH16270,,
,,,,LH16376,,
,,,,LH16406,,
,,,,LH16407,,
LH16449,,,,,,
,,,,LH16453,,
,,LH16544,,,,
,,,,LH16617,,
,,,,LH16627,,
,,,,LH16642,,
,,,,LH16686,,
,,,LH16705,,,
,,,LH16721,,,
,,,LH16722,LH16722,,
,LH16726,,,LH16726,,
,,LH16749,,,,
,,,,LH16766,,
,,,,,LH16815,
,,,,LH16858,,
,,LH16926,,LH16926,LH16926,
,,,LH16937,,,
,,,,,LH16943,
,,,,LH16968,,
,,,,LH16974,,
,,,,LH17009,,
,,,,,,LH17009
,,,,,LH17062,
,,LH17063,,,LH17063,
,,,,,,LH17063
,,LH17064,,,LH17064,
,,,,,,LH17064
